Date,Tournament Name,POS,1,2,3,4,5,"Total
Score",To PAR,FedExCup Rank,FedExCup Points
3/27/16,World Golf Championships-Dell Match Play,T9,--,--,--,--,--,--,--,53,68
4/10/16,Masters Tournament,CUT,72,80,--,--,--,152,8,62,--
4/17/16,RBC Heritage,T33,71,68,70,77,--,286,2,63,36
4/24/16,Valero Texas Open,T29,69,75,70,70,--,284,-4,61,39
05/15/16,THE PLAYERS Championship,T54,67,69,80,74,--,290,2,74,16
5/22/16,AT&T Byron Nelson,T66,68,70,70,70,--,278,-2,78,2
5/29/16,DEAN & DELUCA Invitational,T17,72,68,68,67,--,275,-5,67,52
06/19/16,U.S. Open,T8,71,69,71,71,--,282,2,61,85
07/03/16,World Golf Championships-Bridgestone Invitational,T10,72,74,69,65,--,280,E,52,71
7/17/16,The Open Championship,T12,67,70,75,71,--,283,-1,49,64
7/31/16,PGA Championship,T33,71,66,71,69,--,277,-3,51,34
08/07/16,Travelers Championship,T47,67,71,68,70,--,276,-4,51,20
08/14/16,John Deere Classic,T34,65,71,71,68,--,275,-9,49,35
8/28/16,The Barclays,T48,73,69,75,69,--,286,2,50,84
9/5/16,Deutsche Bank Championship,T57,68,70,77,68,--,283,-1,50,46
9/11/16,BMW Championship,T42,73,69,72,71,--,285,-3,50,108
10/02/16,Ryder Cup *,1,--,--,--,--,--,--,--,--,--
10/26/14,The McGladrey Classic,CUT,71,73,--,--,--,144,4,--,--
12/7/14,Hero World Challenge *,T8,67,71,72,69,--,279,-9,--,--
01/12/15,Hyundai Tournament of Champions,7,68,67,73,67,--,275,-17,94,90
1/18/15,Sony Open in Hawaii,T64,68,69,68,73,--,278,-2,100,6
1/25/15,Humana Challenge in partnership with the Clinton Foundation,CUT,69,70,70,--,--,209,-7,116,--
2/1/15,Waste Management Phoenix Open,T10,66,70,67,71,--,274,-10,75,65
03/01/15,The Honda Classic,CUT,69,76,--,--,--,145,5,115,--
3/8/15,World Golf Championships-Cadillac Championship,T49,76,73,73,73,--,295,7,109,20
3/22/15,Arnold Palmer Invitational presented by MasterCard,T9,71,71,68,66,--,276,-12,83,78
03/29/15,Valero Texas Open,T20,71,71,72,76,--,290,2,78,49
4/12/15,Masters Tournament,T9,72,72,68,68,--,280,-8,64,82
4/19/15,RBC Heritage,CUT,73,75,--,--,--,148,6,69,--
5/3/15,World Golf Championships-Cadillac Match Play,T17,--,--,--,--,--,--,--,70,46
05/10/15,THE PLAYERS Championship,T13,71,68,71,71,--,281,-7,58,63
05/24/15,Crowne Plaza Invitational at Colonial,T19,70,69,67,67,--,273,-7,60,50
5/31/15,AT&T Byron Nelson,5,69,64,68,63,--,264,-13,49,110
06/21/15,U.S. Open,T72,72,72,78,73,--,295,15,59,1
06/28/15,Travelers Championship,6,65,70,64,69,--,268,-12,43,100
7/12/15,John Deere Classic,T3,66,68,66,65,--,265,-19,31,163
7/19/15,The Open Championship,1,66,71,70,66,--,273,-15,6,600
08/09/15,World Golf Championships-Bridgestone Invitational,T33,70,70,71,71,--,282,2,8,37
08/16/15,PGA Championship,CUT,75,72,--,--,--,147,3,11,--
8/30/15,The Barclays,T4,69,65,67,69,--,270,-10,11,490
9/7/15,Deutsche Bank Championship,T22,69,65,74,71,--,279,-5,11,192
9/20/15,BMW Championship,T13,68,69,72,64,--,273,-11,11,223
9/27/15,TOUR Championship by Coca-Cola,T8,66,70,71,70,--,277,-3,11,330
10/11/15,The Presidents Cup *,1,--,--,--,--,--,--,--,--,--
10/20/13,Shriners Hospitals for Children Open,T40,69,70,70,67,--,276,-8,63,30
11/10/13,The McGladrey Classic,T16,70,68,68,67,--,273,-7,64,54
12/8/13,Northwestern Mutual World Challenge *,1,67,68,72,68,--,275,-13,--,--
1/6/14,Hyundai Tournament of Champions,1,67,66,74,66,--,273,-19,7,500
1/12/14,Sony Open in Hawaii,T8,68,67,66,69,--,270,-10,6,64
01/19/14,Humana Challenge in partnership with the Clinton Foundation,T3,65,68,68,62,--,263,-25,4,163
2/23/14,World Golf Championships-Accenture Match Play Championship,T33,--,--,--,--,--,--,--,8,23
3/2/14,The Honda Classic,T33,67,70,68,73,--,278,-2,7,35
3/9/14,World Golf Championships-Cadillac Championship,T16,70,75,71,76,--,292,4,8,51
3/23/14,Arnold Palmer Invitational presented by MasterCard,T43,71,71,73,73,--,288,E,9,24
3/30/14,Valero Texas Open,T6,70,71,70,72,--,283,-5,7,89
04/13/14,Masters Tournament,CUT,78,72,--,--,--,150,6,8,--
4/20/14,RBC Heritage,T61,71,73,70,74,--,288,4,10,9
5/4/14,Wells Fargo Championship,T14,71,70,69,72,--,282,-6,9,56
5/11/14,THE PLAYERS Championship,T26,69,71,72,72,--,284,-4,9,42
5/25/14,Crowne Plaza Invitational at Colonial,73,70,71,69,76,--,286,6,10,1
06/08/14,FedEx St. Jude Classic,T53,64,74,74,71,--,283,3,13,15
06/15/14,U.S. Open,T40,71,74,72,72,--,289,9,15,29
6/22/14,Travelers Championship,CUT,71,73,--,--,--,144,4,15,--
6/24/14,CVS Caremark Charity Classic *,T9,65,68,--,--,--,133,-9,--,--
7/13/14,John Deere Classic,2,63,67,69,64,--,263,-21,10,300
07/20/14,The Open Championship,T47,71,75,71,71,--,288,E,9,23
8/3/14,World Golf Championships-Bridgestone Invitational,T23,70,70,68,69,--,277,-3,11,47
8/10/14,PGA Championship,T69,70,72,70,77,--,289,5,11,1
08/24/14,The Barclays,T22,68,70,72,69,--,279,-5,11,228
9/1/14,Deutsche Bank Championship,T16,71,68,70,67,--,276,-8,11,260
9/7/14,BMW Championship,T43,71,71,71,69,--,282,2,11,135
9/14/14,TOUR Championship by Coca-Cola,21,68,74,72,71,--,285,5,11,250
9/28/14,Ryder Cup *,--,--,--,--,--,--,--,--,--,--
01/07/13,Hyundai Tournament of Champions,T18,74,72,72,--,--,218,-1,18,51
1/13/13,Sony Open in Hawaii,CUT,71,68,--,--,--,139,-1,35,--
1/20/13,Humana Challenge in partnership with the Clinton Foundation,T23,66,66,70,67,--,269,-19,29,47
02/17/13,Northern Trust Open,CUT,72,74,--,--,--,146,4,78,--
02/24/13,World Golf Championships-Accenture Match Play Championship,T33,--,--,--,--,--,--,--,69,23
3/10/13,World Golf Championships-Cadillac Championship,T47,71,67,77,75,--,290,2,81,24
03/17/13,Tampa Bay Championship presented by EverBank,CUT,77,76,--,--,--,153,11,94,--
3/24/13,Arnold Palmer Invitational presented by MasterCard,T34,70,76,69,73,--,288,E,88,35
4/14/13,Masters Tournament,T35,69,76,71,75,--,291,3,92,35
04/21/13,RBC Heritage,T48,72,72,68,75,--,287,3,91,20
05/05/13,Wells Fargo Championship,T65,68,72,77,77,--,294,6,101,5
