Date,Tournament Name,POS,1,2,3,4,5,"Total
Score",To PAR,FedExCup Rank,FedExCup Points
04/03/16,Shell Houston Open,3,65,71,70,69,--,275,-13,21,190
4/10/16,Masters Tournament,T4,73,71,72,71,--,287,-1,14,127
5/15/16,THE PLAYERS Championship,T28,70,70,77,68,--,285,-3,16,40
5/22/16,AT&T Byron Nelson,T12,64,68,70,67,--,269,-11,16,58
06/05/16,the Memorial Tournament presented by Nationwide,3,64,71,68,71,--,274,-14,13,190
6/12/16,FedEx St. Jude Classic,5,66,69,73,63,--,271,-9,7,110
6/19/16,U.S. Open,1,67,69,71,69,--,276,-4,3,600
07/03/16,World Golf Championships-Bridgestone Invitational,1,69,73,66,66,--,274,-6,1,550
7/17/16,The Open Championship,T9,71,69,72,70,--,282,-2,1,82
7/24/16,RBC Canadian Open,T2,66,71,71,69,--,277,-11,1,208
7/31/16,PGA Championship,CUT,77,72,--,--,--,149,9,2,--
8/28/16,The Barclays,T18,70,72,67,73,--,282,-2,2,206
09/05/16,Deutsche Bank Championship,T8,68,66,75,66,--,275,-9,2,281
9/11/16,BMW Championship,1,67,63,68,67,--,265,-23,2,"2,000"
9/25/16,TOUR Championship,T6,66,67,69,73,--,275,-5,2,380
10/02/16,Ryder Cup *,1,--,--,--,--,--,--,--,--,--
02/08/15,Farmers Insurance Open,CUT,74,70,--,--,--,144,E,--,--
2/15/15,AT&T Pebble Beach National Pro-Am,T4,69,67,68,66,--,270,-17,126,115
2/22/15,Northern Trust Open,T2,70,72,67,69,--,278,-6,33,245
03/01/15,The Honda Classic,CUT,77,75,--,--,--,152,12,40,--
03/08/15,World Golf Championships-Cadillac Championship,1,68,73,69,69,--,279,-9,3,550
3/29/15,Valero Texas Open,T6,78,72,68,68,--,286,-2,5,95
4/12/15,Masters Tournament,T6,70,67,73,69,--,279,-9,6,101
4/26/15,Zurich Classic of New Orleans,T43,67,70,68,72,--,277,-11,5,26
05/03/15,World Golf Championships-Cadillac Match Play,T17,--,--,--,--,--,--,--,5,46
5/10/15,THE PLAYERS Championship,T69,72,72,75,72,--,291,3,6,1
5/31/15,AT&T Byron Nelson,T8,67,68,62,69,--,266,-11,7,83
06/07/15,the Memorial Tournament presented by Nationwide,T13,72,71,65,71,--,279,-9,7,57
6/14/15,FedEx St. Jude Classic,W/D,--,--,--,--,--,--,--,7,--
6/21/15,U.S. Open,T2,65,71,70,70,--,276,-4,3,270
7/19/15,The Open Championship,T49,65,69,75,75,--,284,-4,4,18
08/09/15,World Golf Championships-Bridgestone Invitational,T53,69,67,75,76,--,287,7,6,17
8/16/15,PGA Championship,T7,66,73,68,69,--,276,-12,7,94
8/30/15,The Barclays,T9,70,70,67,65,--,272,-8,7,310
09/07/15,Deutsche Bank Championship,T44,70,70,68,76,--,284,E,7,86
9/20/15,BMW Championship,T7,71,62,68,70,--,271,-13,7,340
9/27/15,TOUR Championship by Coca-Cola,T5,69,72,71,64,--,276,-4,7,400
10/11/15,The Presidents Cup *,1,--,--,--,--,--,--,--,--,--
11/03/13,World Golf Championships-HSBC Champions,1,69,63,66,66,--,264,-24,3,550
12/08/13,Northwestern Mutual World Challenge *,18,74,79,72,74,--,299,11,--,--
12/15/13,Franklin Templeton Shootout *,T11,68,69,61,--,--,198,-18,--,--
01/06/14,Hyundai Tournament of Champions,T6,70,66,69,73,--,278,-14,5,89
02/09/14,AT&T Pebble Beach National Pro-Am,T2,68,73,70,66,--,277,-10,4,245
2/16/14,Northern Trust Open,2,66,70,69,66,--,271,-13,2,300
2/23/14,World Golf Championships-Accenture Match Play Championship,T33,--,--,--,--,--,--,--,2,23
03/09/14,World Golf Championships-Cadillac Championship,T4,69,74,73,72,--,288,E,2,128
04/06/14,Shell Houston Open,W/D,80,--,--,--,--,80,8,3,--
4/13/14,Masters Tournament,CUT,77,74,--,--,--,151,7,4,--
5/11/14,THE PLAYERS Championship,T59,68,74,72,74,--,288,E,5,11
5/18/14,HP Byron Nelson Championship,T7,69,69,68,66,--,272,-8,4,83
5/25/14,Crowne Plaza Invitational at Colonial,T14,65,70,74,66,--,275,-5,4,54
06/01/14,the Memorial Tournament presented by Nationwide Insurance,T46,73,68,72,73,--,286,-2,4,24
06/08/14,FedEx St. Jude Classic,T24,68,67,75,67,--,277,-3,4,46
6/15/14,U.S. Open,T4,69,69,70,73,--,281,1,4,115
6/22/14,Travelers Championship,T31,66,66,71,71,--,274,-6,4,35
7/20/14,The Open Championship,T12,71,65,71,72,--,279,-9,3,68
7/27/14,RBC Canadian Open,CUT,74,68,--,--,--,142,2,4,--
